; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4827744,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.482783,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4828004,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.482835,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4828436,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4828524,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.482861,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.482887,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4829044,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.482913,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4829304,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.482939,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4829476,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4829564,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.482965,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4829736,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4829824,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4829996,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.483017,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4830256,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4830344,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483043,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4830516,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4830864,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4831038,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4831124,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.483121,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4831384,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4831644,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483173,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4831904,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483199,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4832078,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4832598,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4832684,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4832858,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4832944,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483329,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4833638,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4833724,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.483381,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4833898,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4834158,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483433,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4834504,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483459,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4834678,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483485,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4834938,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483511,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.483537,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4835458,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4835544,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.483563,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4835718,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4836064,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
