Id,Time[ns],0:UART: RX/TX
1,6545301400.00,[00]
2,7962487000.00,[0D]
3,7962573800.00,[0A]
4,7962660400.00,U
5,7962747000.00,-
6,7962833800.00,B
7,7962920400.00,o
8,7963007200.00,o
9,7963093800.00,t
10,7963180400.00,[20]
11,7963267200.00,S
12,7963353800.00,P
13,7963440400.00,L
14,7963527200.00,[20]
15,7963613800.00,2
16,7963700600.00,0
17,7963787200.00,1
18,7963873800.00,7
19,7963960600.00,.
20,7964047200.00,1
21,7964134000.00,1
22,7964220600.00,[20]
23,7964307200.00,(
24,7964394000.00,A
25,7964480600.00,u
26,7964567200.00,g
27,7964654000.00,[20]
28,7964740600.00,2
29,7964827400.00,7
30,7964914000.00,[20]
31,7965000600.00,2
32,7965087400.00,0
33,7965174000.00,2
34,7965260800.00,4
35,7965347400.00,[20]
36,7965434000.00,-
37,7965520800.00,[20]
38,7965607400.00,1
39,7965694000.00,3
40,7965780800.00,:
41,7965867400.00,2
42,7965954200.00,3
43,7966040800.00,:
44,7966127400.00,0
45,7966214200.00,6
46,7966300800.00,)
47,7966387400.00,[0D]
48,7966474200.00,[0A]
49,7967246200.00,D
50,7967332800.00,R
51,7967419400.00,A
52,7967506200.00,M
53,7967592800.00,:
54,7969142800.00,[20]
55,7969229400.00,1
56,7969316000.00,0
57,7969402800.00,2
58,7969489400.00,4
59,7969576200.00,[20]
60,7969662800.00,M
61,7969749400.00,i
62,7969836200.00,B
63,7969922800.00,[0D]
64,7970009400.00,[0A]
65,7970096200.00,T
66,7970182800.00,r
67,7970269600.00,y
68,7970356200.00,i
69,7970442800.00,n
70,7970529600.00,g
71,7970616200.00,[20]
72,7970703000.00,t
73,7970789600.00,o
74,7970876200.00,[20]
75,7970963000.00,b
76,7971049600.00,o
77,7971136200.00,o
78,7971223000.00,t
79,7971309600.00,[20]
80,7971396400.00,f
81,7971483000.00,r
82,7971569600.00,o
83,7971656400.00,m
84,7971743000.00,[20]
85,7971829600.00,M
86,7971916400.00,M
87,7972003000.00,C
88,7972089800.00,2
89,7972176400.00,[0D]
90,7972263000.00,[0A]
91,8185789000.00,[0D]
92,8185875600.00,[0A]
